EarthPod Sensor Log
Created: Wed Jun 24 01:17:26 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa),Wind (m/s)
Wed Jun 24 01:43:12 2020,6.92,31.333,37.739,16020.48,95.824707031,0.0
Wed Jun 24 01:43:19 2020,6.92,31.286,38.241,16327.68,95.824609375,0.0
Wed Jun 24 01:43:26 2020,6.92,31.203,37.919,16317.44,95.825460937,0.0
Wed Jun 24 01:43:33 2020,6.92,31.165,38.287,16471.04,95.82571875,0.0
Wed Jun 24 01:43:40 2020,6.92,31.218,37.278,16614.4,95.827628906,0.0
Wed Jun 24 01:43:47 2020,6.92,31.19,39.022,16512.0,95.8240625,0.0
Wed Jun 24 01:43:54 2020,6.92,31.198,39.857,15872.0,95.826835937,0.0
Wed Jun 24 01:44:01 2020,6.919,31.225,35.787,16010.24,95.827371093,0.0
Wed Jun 24 01:44:08 2020,6.921,31.187,35.676,16701.44,95.820375,0.0
Wed Jun 24 01:44:15 2020,6.92,31.19,33.77,16721.92,95.8181875,0.0
Wed Jun 24 01:44:22 2020,6.92,31.117,34.278,16972.8,95.820035156,0.0
Wed Jun 24 01:44:29 2020,6.92,31.17,33.865,16988.16,95.814617187,0.0
Wed Jun 24 01:44:36 2020,6.92,31.258,33.177,16665.6,95.820933593,0.0
Wed Jun 24 01:44:42 2020,6.919,31.25,36.3,16471.04,95.816402343,0.0
Wed Jun 24 01:44:49 2020,6.92,31.263,37.846,15882.24,95.816070312,0.0
Wed Jun 24 01:44:56 2020,6.92,31.165,35.504,15692.8,95.819707031,0.0
Wed Jun 24 01:45:03 2020,6.926,31.298,36.744,15636.48,95.812574218,0.0
Wed Jun 24 01:45:10 2020,6.92,31.155,36.499,15744.0,95.818242187,0.0
Wed Jun 24 01:45:17 2020,6.92,31.137,41.307,15703.04,95.818191406,0.0
Wed Jun 24 01:45:24 2020,6.92,31.135,38.699,15339.52,95.812894531,0.0
Wed Jun 24 01:45:31 2020,6.92,31.082,38.896,15590.4,95.820355468,0.0
Wed Jun 24 01:45:38 2020,6.919,30.938,40.722,15656.96,95.820835937,0.0
Wed Jun 24 01:45:45 2020,6.92,31.041,38.166,15626.24,95.816597656,0.0
Wed Jun 24 01:45:52 2020,6.92,31.059,37.307,15651.84,95.81921875,0.0
Wed Jun 24 01:45:59 2020,6.92,30.926,37.864,15708.16,95.821269531,0.0
Wed Jun 24 01:46:05 2020,6.92,30.968,37.866,15703.04,95.822335937,0.0
Wed Jun 24 01:46:12 2020,6.921,31.046,37.831,15631.36,95.820273437,0.0
Wed Jun 24 01:46:19 2020,6.919,31.084,38.687,15764.48,95.821839843,0.0
Wed Jun 24 01:46:26 2020,6.92,31.067,38.859,15784.96,95.817707031,0.0
Wed Jun 24 01:46:33 2020,6.92,31.019,37.203,15662.08,95.821894531,0.0
Wed Jun 24 01:46:40 2020,6.92,31.062,36.457,15636.48,95.820488281,0.0
Wed Jun 24 01:46:47 2020,6.92,31.14,36.795,15687.68,95.819691406,0.0
Wed Jun 24 01:46:54 2020,6.92,31.062,35.218,15651.84,95.817148437,0.0
Wed Jun 24 01:47:01 2020,6.92,31.089,35.803,15713.28,95.823429687,0.0
Wed Jun 24 01:47:08 2020,6.92,31.122,38.166,15708.16,95.820527343,0.0
Wed Jun 24 01:47:15 2020,6.92,31.145,37.521,15738.88,95.819082031,0.0
Wed Jun 24 01:47:22 2020,6.919,31.147,38.426,15718.4,95.82184375,0.0
Wed Jun 24 01:47:29 2020,6.92,31.145,36.776,15656.96,95.8215625,0.0
Wed Jun 24 01:47:35 2020,6.92,31.208,35.459,15651.84,95.817652343,0.0
Wed Jun 24 01:47:42 2020,6.92,31.19,34.53,15626.24,95.81984375,0.0
Wed Jun 24 01:47:49 2020,6.92,31.293,39.588,15667.2,95.818652343,0.0
Wed Jun 24 01:47:56 2020,6.92,31.286,36.596,15421.44,95.822210937,0.0
Wed Jun 24 01:48:03 2020,6.92,31.253,39.363,15252.48,95.816945312,0.0
Wed Jun 24 01:48:10 2020,6.92,31.22,36.254,15293.44,95.816078125,0.0
Wed Jun 24 01:48:17 2020,6.92,31.177,37.403,15257.6,95.816203125,0.0
Wed Jun 24 01:48:24 2020,6.92,31.2,35.189,15232.0,95.811320312,0.0
Wed Jun 24 01:48:31 2020,6.931,31.228,32.582,15360.0,95.811960937,0.0
Wed Jun 24 01:48:38 2020,6.919,31.2,34.469,15416.32,95.820195312,0.0
Wed Jun 24 01:48:45 2020,6.92,31.172,34.428,15272.96,95.822445312,0.0
Wed Jun 24 01:48:52 2020,6.921,31.23,33.38,15370.24,95.817871093,0.0
Wed Jun 24 01:48:58 2020,6.919,31.248,32.579,15191.04,95.815964843,0.0
Wed Jun 24 01:49:05 2020,6.919,31.235,34.225,15585.28,95.815105468,0.0
Wed Jun 24 01:49:12 2020,6.92,31.218,32.884,15390.72,95.815515625,0.0
Wed Jun 24 01:49:19 2020,6.92,31.119,33.728,15288.32,95.816046875,0.0
Wed Jun 24 01:49:26 2020,6.92,31.137,35.493,15272.96,95.817441406,0.0
Wed Jun 24 01:49:33 2020,6.92,31.089,33.496,15472.64,95.816753906,0.0
Wed Jun 24 01:49:40 2020,6.924,31.107,35.179,15554.56,95.819898437,0.0
Wed Jun 24 01:49:47 2020,6.92,31.094,36.117,15488.0,95.817042968,0.0
Wed Jun 24 01:49:54 2020,6.92,31.127,36.567,15569.92,95.817203125,0.0
Wed Jun 24 01:50:01 2020,6.922,31.15,35.064,15544.32,95.816992187,0.0
Wed Jun 24 01:50:08 2020,6.92,31.233,35.111,15569.92,95.817332031,0.0
Wed Jun 24 01:50:15 2020,6.919,31.266,35.122,15539.2,95.820796875,0.0
Wed Jun 24 01:50:22 2020,6.92,31.278,37.004,15564.8,95.814859375,0.0
Wed Jun 24 01:50:28 2020,6.921,31.351,35.534,15523.84,95.816273437,0.0
